candidate,office,district,party,county,precinct,votes,vtd
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-3,49,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-3,6,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-3,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-3,155,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-3,58,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-3,65,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-3,153,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-3,152,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-3,64,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-3,148,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-3,68,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 14-3,170,
,Registered Voters,,,Wyandotte,Kansas City 14-4,759,
,Ballots Cast,,,Wyandotte,Kansas City 14-4,435,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-4,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-4,332,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-4,99,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-4,12,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-4,320,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-4,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-4,85,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-4,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-4,13,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-4,307,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-4,104,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-4,107,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-4,319,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-4,320,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-4,96,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-4,309,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-4,110,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-4,90,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-4,336,
,Registered Voters,,,Wyandotte,Kansas City 14-5,693,
,Ballots Cast,,,Wyandotte,Kansas City 14-5,400,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-5,12,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-5,286,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-5,98,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-5,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-5,292,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-5,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-5,84,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-5,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-5,15,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-5,269,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-5,105,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-5,108,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-5,284,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-5,284,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-5,105,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-5,275,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-5,115,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-5,89,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-5,298,
,Registered Voters,,,Wyandotte,Kansas City 14-6,897,
,Ballots Cast,,,Wyandotte,Kansas City 14-6,507,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-6,20,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-6,328,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-6,152,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-6,17,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-6,325,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-6,6,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-6,132,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-6,21,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-6,29,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-6,301,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-6,161,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-6,170,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-6,323,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-6,327,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-6,156,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-6,314,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-6,168,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-6,132,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-6,357,
,Registered Voters,,,Wyandotte,Kansas City 14-7,1119,
,Ballots Cast,,,Wyandotte,Kansas City 14-7,661,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-7,26,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-7,453,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-7,177,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-7,19,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-7,458,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-7,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-7,137,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-7,36,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-7,22,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-7,431,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-7,183,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-7,174,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-7,466,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-7,460,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-7,170,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-7,437,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-7,197,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-7,161,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-7,484,
,Registered Voters,,,Wyandotte,Kansas City 14-8,840,
,Ballots Cast,,,Wyandotte,Kansas City 14-8,500,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-8,27,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-8,331,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-8,137,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-8,23,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-8,328,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-8,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-8,119,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-8,20,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-8,25,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-8,323,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-8,143,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-8,153,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-8,337,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-8,330,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-8,157,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-8,315,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-8,171,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-8,135,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-8,357,
,Registered Voters,,,Wyandotte,Kansas City 14-9,453,
,Ballots Cast,,,Wyandotte,Kansas City 14-9,312,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-9,3,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-9,130,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-9,179,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-9,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-9,138,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-9,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-9,156,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-9,13,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-9,9,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-9,129,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-9,166,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-9,180,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-9,125,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-9,131,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-9,170,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-9,126,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-9,170,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-9,134,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-9,170,
,Registered Voters,,,Wyandotte,Kansas City 14-10,1464,
,Ballots Cast,,,Wyandotte,Kansas City 14-10,969,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-10,23,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-10,527,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-10,412,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-10,18,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-10,538,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-10,6,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-10,362,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-10,41,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-10,24,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-10,506,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-10,413,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-10,435,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-10,509,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-10,513,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-10,427,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-10,484,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-10,444,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-10,311,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-10,648,
,Registered Voters,,,Wyandotte,Kansas City 14-11,742,
,Ballots Cast,,,Wyandotte,Kansas City 14-11,480,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-11,18,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-11,307,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-11,150,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-11,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-11,320,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-11,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-11,136,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-11,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-11,15,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-11,289,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-11,169,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-11,166,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-11,308,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-11,306,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-11,164,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-11,296,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-11,173,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-11,131,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-11,343,
,Registered Voters,,,Wyandotte,Kansas City 14-12,1402,
,Ballots Cast,,,Wyandotte,Kansas City 14-12,918,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-12,25,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-12,479,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-12,408,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-12,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-12,512,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-12,6,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-12,341,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-12,40,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-12,23,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-12,444,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-12,415,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-12,419,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-12,466,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-12,469,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-12,401,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-12,461,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-12,409,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-12,337,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-12,564,
,Registered Voters,,,Wyandotte,Kansas City 14-13,1063,
,Ballots Cast,,,Wyandotte,Kansas City 14-13,685,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-13,22,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-13,395,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-13,260,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-13,19,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-13,409,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-13,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-13,222,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-13,26,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-13,28,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-13,374,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-13,271,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-13,268,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-13,398,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-13,387,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-13,270,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-13,383,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-13,280,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-13,189,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-13,483,
,Registered Voters,,,Wyandotte,Kansas City 14-14,1602,
,Ballots Cast,,,Wyandotte,Kansas City 14-14,1024,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-14,25,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-14,497,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-14,499,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-14,12,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-14,525,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-14,6,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-14,420,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-14,55,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-14,26,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-14,475,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-14,498,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-14,512,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-14,483,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-14,504,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-14,476,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-14,482,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-14,499,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-14,371,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-14,635,
,Registered Voters,,,Wyandotte,Kansas City 14-15,1500,
,Ballots Cast,,,Wyandotte,Kansas City 14-15,1028,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-15,23,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-15,476,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-15,527,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-15,9,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-15,525,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-15,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-15,447,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-15,40,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-15,32,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-15,447,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-15,514,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-15,522,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-15,468,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-15,477,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-15,503,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-15,439,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-15,536,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-15,389,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-15,620,
,Registered Voters,,,Wyandotte,Kansas City 14-16,430,
,Ballots Cast,,,Wyandotte,Kansas City 14-16,311,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-16,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-16,179,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-16,124,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-16,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-16,187,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-16,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-16,107,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-16,9,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-16,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-16,165,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-16,126,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-16,122,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-16,175,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-16,175,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-16,120,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-16,164,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-16,131,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-16,97,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-16,210,
,Registered Voters,,,Wyandotte,Lake Quivira 1-1,27,
,Ballots Cast,,,Wyandotte,Lake Quivira 1-1,20,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Lake Quivira 1-1,0,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Lake Quivira 1-1,9,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Lake Quivira 1-1,10,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Lake Quivira 1-1,0,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Lake Quivira 1-1,13,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Lake Quivira 1-1,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Lake Quivira 1-1,7,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Lake Quivira 1-1,0,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Lake Quivira 1-1,0,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Lake Quivira 1-1,10,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Lake Quivira 1-1,10,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Lake Quivira 1-1,13,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Lake Quivira 1-1,7,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Lake Quivira 1-1,10,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Lake Quivira 1-1,10,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Lake Quivira 1-1,6,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Lake Quivira 1-1,14,
Tom Burroughs,State House,33,Democratic,Wyandotte,Lake Quivira 1-1,11,
Jason Conley,State House,33,Libertarian,Wyandotte,Lake Quivira 1-1,8,
,Registered Voters,,,Wyandotte,GRAND TOTAL,83154,
,Ballots Cast,,,Wyandotte,GRAND TOTAL,42500,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,GRAND TOTAL,1312,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,GRAND TOTAL,28731,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,GRAND TOTAL,12105,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,GRAND TOTAL,130,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,GRAND TOTAL,28285,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,GRAND TOTAL,304,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,GRAND TOTAL,10526,
Greg Orman John Doll,Governor,,Independent,Wyandotte,GRAND TOTAL,1691,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,GRAND TOTAL,1525,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,GRAND TOTAL,27274,
Scott Schwab,Secretary of State,,Republican,Wyandotte,GRAND TOTAL,12546,
Derek Schmidt,Attorney General,,Republican,Wyandotte,GRAND TOTAL,12835,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,GRAND TOTAL,28534,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,GRAND TOTAL,28362,
Jake La Turner,State Treasurer,,Republican,Wyandotte,GRAND TOTAL,12647,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,GRAND TOTAL,27542,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,GRAND TOTAL,13410,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,GRAND TOTAL,4416,
Pam Curtis,State House,32,Democratic,Wyandotte,GRAND TOTAL,2239,
Tom Burroughs,State House,33,Democratic,Wyandotte,GRAND TOTAL,4734,
Jason Conley,State House,33,Libertarian,Wyandotte,GRAND TOTAL,2048,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,GRAND TOTAL,4363,
